Image_URL,Featured,Shortlisted,Location_Name,Rating,Tags,Property_Type,Property_Link,Price,Price_per_sqft,Possession_Status,Highlights,Dealer_Name,Dealer_Badge,View_Number,Chat_Now,Call
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,The Citizen,3.7,"RESALE, RESALE","5 BHK FlatinSector 51, Gurgaon",https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-the-citizen-sector-51-gurgaon-5800-sq-ft-spid-X77577983,₹4.95 Cr,,,,Perfect Homes Realty,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,Tulip Ivory,3.5,"RESALE, RESALE","5 BHK FlatinSector 70, Gurgaon",https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-tulip-ivory-sector-70-gurgaon-2810-sq-ft-spid-P77538631,₹4.99 Cr,,,,Perfect Homes Realty,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,"Block H, Sector-57,,, Gurgaon",,"RESALE, RESALE","3 BHK Independent Builder FloorinBlock H, Sector-57,, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-block-h-sector-57-gurgaon-1567-sq-ft-spid-W77538521,₹2.25 Cr,,,,Perfect Homes Realty,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,Indiabulls Enigma,3.6,"RESALE, RESALE","4 BHK FlatinSector 110, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-enigma-sector-110-gurgaon-3350-sq-ft-spid-A77535027,₹4.8 Cr,,,,Perfect Homes Realty,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,orris anandam ora,,"RESALE, RESALE","Residential land / PlotinSector 93, Gurgaon",https://www.99acres.com/residential-land-plot-for-sale-in-sector-93-gurgaon-152-sq-yard-spid-H77532977,₹2.43 Cr,,,,Perfect Homes Realty,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,Vatika Xpressions,,"RESALE, RESALE","Residential land / PlotinSector 88B, Gurgaon",https://www.99acres.com/residential-land-plot-for-sale-in-vatika-xpressions-sector-88b-gurgaon-233-sq-yard-spid-D77528967,₹4.88 Cr,,,,Perfect Homes Realty,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,Whiteland The Aspen,,"RESALE, RESALE","3 BHK FlatinSector 76, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-whiteland-the-aspen-sector-76-gurgaon-2766-sq-ft-spid-C77527719,₹4.07 Cr,,,,Perfect Homes Realty,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,Smartworld One DXP,,"RESALE, RESALE","3 BHK FlatinSector 113, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smartworld-one-dxp-sector-113-gurgaon-1806-sq-ft-spid-O77527043,₹3.07 Cr,,,,Perfect Homes Realty,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,m3m mansion,,"RESALE, RESALE","3 BHK FlatinSector 113, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-113-gurgaon-2080-sq-ft-spid-R77526063,₹4.26 Cr,,,,Perfect Homes Realty,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,Eldeco Mansionz,3.8,"RESALE, RESALE","5 Bedroom HouseinSector 48, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-eldeco-mansionz-sector-48-gurgaon-2700-sq-ft-spid-Y77509693,₹8.6 Cr,,,,Perfect Homes Realty,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,"Sector 46,, Gurgaon",,"RESALE, RESALE","3 BHK Independent Builder FloorinSector 46, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-46-gurgaon-263-sq-ft-spid-S77509457,₹2.65 Cr,,,,Perfect Homes Realty,None,Available,Not Available,Not Available
https://imagecdn.99acres.com/media1/26290/6/525806653M-1729337174328.webp,,Yes,TATA PRIMANTI,4.1,Resale,"3 BHK Flatin Sector 72, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tata-primanti-sector-72-gurgaon-2550-sq-ft-spid-F78005819,₹5 Cr,"₹19,607 /sqft",Ready To Move,"North Facing, Private Garden, Fresh Construction, Recently Renovated",Group 3 Realtors,FEATURED DEALER,Available,Available,Available
https://imagecdn.99acres.com/media1/26200/1/524001583M-1728628623288.jpg,,Yes,"Sushant Lok Phase 2,, G...",,Resale,"4 BHK Independent Builder FloorinSushant Lok Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-phase-2-gurgaon-4500-sq-ft-spid-K77905375,₹4.5 Cr,"₹10,000 /sqft",Ready To Move,,Optimal Realty,FEATURED DEALER,Available,Available,Available
https://static.99acres.com/universalapp/img/noImageBgPremium.svg,No,No,EMAAR MGF EMERALD FLOOR...,3.8,Resale,"4 BHK FlatinSector 65, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-emerald-floors-premier-sector-65-gurgaon-1950-sq-ft-spid-B78316621,₹3.1 Cr,"₹15,897 /sqft",Ready To Move,,Owner,None,Not Available,Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,Vatika Aspiration,,"RESALE, RESALE","Residential land / Plotin Sector 88B, Gurgaon",https://www.99acres.com/residential-land-plot-for-sale-in-vatika-aspiration-sector-88b-gurgaon-178-sq-yard-spid-F77851063,₹2.59 Cr,,,,Luxury Redefine,None,Available,Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,Emaar MGF Emerald Floors Premier,3.8,"RESALE, RESALE","4 BHK Flatin Sector 65, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-emerald-floors-premier-sector-65-gurgaon-1950-sq-ft-spid-B78316621,₹3.1 Cr,,,,Owner,None,Available,Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,Paras Irene,3.8,"RESALE, RESALE","2 BHK Flatin Sector 70A, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paras-irene-sector-70a-gurgaon-1420-sq-ft-spid-C77742493,₹1.72 Cr,,,,Radhika Homes,None,Available,Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,THE KULDEEP HABITAT,,"RESALE, RESALE","Residential land / PlotinSector 67A, Gurgaon",https://www.99acres.com/residential-land-plot-for-sale-in-sector-67a-gurgaon-125-sq-yard-r2-spid-M75475527,₹47.5 Lac,,,,ETR DEVELOPERS PRIVATE LIMITED,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,Ashiana Anmol,,"RESALE, RESALE","2 BHK FlatinSohna, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ashiana-anmol-sohna-gurgaon-1275-sq-ft-spid-Y74514891,₹1.18 Cr,,,,Rihan Realtech & Developers,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,SS The Coralwood,3.5,"RESALE, RESALE","3 BHK FlatinSector 84, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ss-the-coralwood-sector-84-gurgaon-1890-sq-ft-spid-A78316691,₹1.9 Cr,,,,Philby Real Estate,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,SS Almeria,,"RESALE, RESALE","3 BHK Independent Builder FloorinSector 84, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-ss-almeria-sector-84-gurgaon-2000-sq-ft-spid-Z78052567,₹2.65 Cr,,,,Philby Real Estate,None,Available,Not Available,Not Available
https://static.99acres.com/universalapp/img/Shortlist.png,No,Yes,SS Almeria,,"RESALE, RESALE","3 BHK Independent Builder FloorinSector 84, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-ss-almeria-sector-84-gurgaon-2000-sq-ft-spid-F78044949,₹2 Cr,,,,Philby Real Estate,None,Available,Not Available,Not Available
